REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,RATIO
Illinois,2018,27,241,32637,0.7645033298737243
Illinois,2018,28,264,37900,0.8138232680446769
Illinois,2018,29,221,37420,0.8103412375169703
Illinois,2018,30,164,35777,0.8054058414454097
Illinois,2018,31,177,34920,0.807297737277605
Illinois,2018,32,157,35580,0.8103291535157725
Illinois,2018,33,172,36147,0.8012812697427485
Illinois,2018,34,188,36699,0.795688278274444
Illinois,2018,35,269,37696,0.8017838215327678
Illinois,2018,36,263,35501,0.7814683486718164
Illinois,2018,37,292,39108,0.8116499481148391
Illinois,2018,38,334,39035,0.8151524169002908
Illinois,2018,39,272,36592,0.7685941733705812
Illinois,2018,40,394,49752,0.8577794517859132
Illinois,2018,41,493,49031,0.8543714957060461
Illinois,2018,42,518,49846,0.8543849332443786
Illinois,2018,43,579,49913,0.8515307682515686
Illinois,2018,44,656,50265,0.8605116359920355
Illinois,2018,45,632,50231,0.846913061466411
Illinois,2018,46,649,47240,0.8143607125192114
Illinois,2018,47,627,40380,0.7789652378563988
Illinois,2018,48,732,50693,0.8976074117659879
Illinois,2018,49,788,51096,0.8718607013758181
Illinois,2018,50,849,50461,0.9175394574150847
Illinois,2018,51,987,47120,0.8866963698949386
Illinois,2018,52,1339,40167,0.8123394715922084
Illinois,2019,1,1262,43073,0.814517478082393
Illinois,2019,2,1019,46670,0.8589319236530125
Illinois,2019,3,1057,48735,0.8872871956035829
Illinois,2019,4,1046,46658,0.8424875964642284
Illinois,2019,5,1089,36950,0.6894596708793536
Illinois,2019,6,1198,51337,0.9095692847398168
Illinois,2019,7,1326,47549,0.8506503693591536
Illinois,2019,8,1601,50618,0.8939355448717513
Illinois,2019,9,1557,48986,0.8593339270774296
Illinois,2019,10,1650,50013,0.8727592696501011
Illinois,2019,11,1907,51993,0.9378350853045322
Illinois,2019,12,1458,46705,0.8626046707223168
Illinois,2019,13,1255,49561,0.9457775703102178
Illinois,2019,14,1062,49511,0.925712107810354
Illinois,2019,15,847,42059,0.7920004287605632
Illinois,2019,16,691,45354,0.8753128757849731
Illinois,2019,17,562,43180,0.8180771528921403
Illinois,2019,18,479,39394,0.7536570146986973
Illinois,2019,19,487,45999,0.8881276436481157
Illinois,2019,20,445,42446,0.918635992082188
Illinois,2019,21,370,38076,0.8128348919888664
Illinois,2019,22,281,30633,0.6725602887306222
Illinois,2019,23,243,29955,0.6405294444682034
Illinois,2019,24,272,38019,0.8330614033609197
Illinois,2019,25,219,38208,0.8168667565700752
Illinois,2019,26,238,31379,0.7034570409164512
Illinois,2019,27,195,29291,0.6861251657729344
Illinois,2019,28,195,33962,0.7292629506420399
Illinois,2019,29,197,37936,0.8215153710968408
Illinois,2019,30,193,33365,0.7511073007749698
Illinois,2019,31,187,32997,0.7628408773467678
Illinois,2019,32,191,32774,0.7464229251637416
Illinois,2019,33,161,33800,0.7492546246522506
Illinois,2019,34,150,32899,0.7132986911619099
